Ordering,Type,Algorithm,Min,Max,First Quartile,Median,Third Quartile
random,Integer,BubbleSortPassPerItem,1465.755,316193825.438,27754.605,1845607.3080000002,81789479.15525001
random,Integer,BubbleSortUntilNoChange,938.737,348346336.946,28246.780000000002,1893664.118,89899068.31775
random,Integer,BubbleSortWhileNeeded,599.355,239116415.026,11975.51025,1312930.6909999999,61736674.1215
random,Double,BubbleSortPassPerItem,4440.445,381840377.32,23131.234,1538192.5695,97745362.0615
random,Double,BubbleSortUntilNoChange,3381.74,442160421.026,26790.474499999997,1678748.2865,113032282.64675002
random,Double,BubbleSortWhileNeeded,2258.556,277053320.094,15927.629250000002,997044.8595,70743534.32249999
random,String,BubbleSortPassPerItem,1275.651,1308045634.432,51404.073749999996,4380259.13,333530712.142
random,String,BubbleSortUntilNoChange,824.749,1253427856.388,50189.06724999999,4721858.1655,320389768.46525
random,String,BubbleSortWhileNeeded,724.025,653765620.349,31582.75775,2603313.5450000004,167314973.65324998
random,DummySmallObject,BubbleSortPassPerItem,611.191,533899417.855,43131.166,2790596.8715000004,137617771.40275002
random,DummySmallObject,BubbleSortUntilNoChange,402.45,682697004.325,49162.746,3524155.8515000003,175911422.72500002
random,DummySmallObject,BubbleSortWhileNeeded,217.315,402243204.388,28633.39075,2073656.436,103642706.68900001
random,DummyLargeObject,BubbleSortPassPerItem,677.215,818064457.797,49085.2435,3160534.7745,209208000.67125002
random,DummyLargeObject,BubbleSortUntilNoChange,441.562,846524384.266,51160.876000000004,3826780.0215000003,217320215.61325002
random,DummyLargeObject,BubbleSortWhileNeeded,262.866,518363107.376,30479.086500000005,2315331.9795,133033361.44324999
sorted,Integer,BubbleSortPassPerItem,739.457,171580158.601,12635.648749999998,1125012.745,44570107.98325
sorted,Integer,BubbleSortUntilNoChange,83.26,20139.247,179.5285,1165.81,6624.813249999999
sorted,Integer,BubbleSortWhileNeeded,83.828,21284.693,171.563,622.662,6104.56025
sorted,Double,BubbleSortPassPerItem,3310.967,222360877.591,16986.952250000002,1076022.639,57188094.14574999
sorted,Double,BubbleSortUntilNoChange,291.896,28624.304,329.13275,1379.0125,8968.436
sorted,Double,BubbleSortWhileNeeded,316.002,18808.083,357.14325,1204.415,6230.5005
sorted,String,BubbleSortPassPerItem,816.935,1108897307.663,40647.20675,3600512.8125,282584653.16150004
sorted,String,BubbleSortUntilNoChange,82.721,118201.407,492.08224999999993,4026.039,35118.00825
sorted,String,BubbleSortWhileNeeded,137.469,118195.011,453.1665,3752.5965,34758.84825
sorted,DummySmallObject,BubbleSortPassPerItem,343.298,376914014.871,32834.74475,2068479.991,97298474.784
sorted,DummySmallObject,BubbleSortUntilNoChange,49.353,57733.382,483.72825,3215.4565000000002,18785.14025
sorted,DummySmallObject,BubbleSortWhileNeeded,65.632,52638.688,448.05775,3063.8045,17323.729
sorted,DummyLargeObject,BubbleSortPassPerItem,352.464,483533012.982,25794.085499999997,2342472.6985,124371256.32374999
sorted,DummyLargeObject,BubbleSortUntilNoChange,47.612,67730.351,378.1205,3382.696,21640.414249999998
sorted,DummyLargeObject,BubbleSortWhileNeeded,46.969,66351.505,379.75149999999996,3258.8705,21108.17275
reverse,Integer,BubbleSortPassPerItem,1176.071,307090906.209,24116.70425,1632874.287,79198215.29625
reverse,Integer,BubbleSortUntilNoChange,1173.288,337748399.136,26086.73925,1736710.0159999998,87016371.39074999
reverse,Integer,BubbleSortWhileNeeded,819.581,227159258.594,16793.8445,1188143.6184999999,58555441.127
reverse,Double,BubbleSortPassPerItem,4100.036,375829777.123,27795.6725,1853142.4785,96710387.33500001
reverse,Double,BubbleSortUntilNoChange,2592.352,400133721.46,31079.96875,1922833.391,102887248.57075
reverse,Double,BubbleSortWhileNeeded,1255.642,240872073.746,19552.4935,1209820.0820000002,62013509.9765
reverse,String,BubbleSortPassPerItem,1323.829,903300498.107,51385.522750000004,3795094.2145,231466711.28300002
reverse,String,BubbleSortUntilNoChange,1290.003,944837962.212,55536.0585,3804123.7984999996,241860462.69300002
reverse,String,BubbleSortWhileNeeded,764.933,434879199.733,29532.70175,1977959.5935,111657397.855
reverse,DummySmallObject,BubbleSortPassPerItem,403.179,494785192.637,40793.95575,2524998.518,127443102.77525002
reverse,DummySmallObject,BubbleSortUntilNoChange,574.482,653282613.82,49541.77425,3292730.5355,168210351.1045
reverse,DummySmallObject,BubbleSortWhileNeeded,399.132,356942969.367,27520.287750000003,1809402.5445,91922425.65374999
reverse,DummyLargeObject,BubbleSortPassPerItem,412.934,600181796.055,38204.4455,2719903.6665000003,154087203.3015
reverse,DummyLargeObject,BubbleSortUntilNoChange,515.347,735114957.064,49525.726,3425456.7720000003,188867527.53475
reverse,DummyLargeObject,BubbleSortWhileNeeded,338.409,419882800.599,27708.327749999997,1863755.912,107738710.29224999
